PointID,AltID,AltID_text,DateOccupied,OPUS,Feature Code,Longitude_Global,Latitude_Global,Elevation_m,Northing,Easting,H_Precision,V_Precision,RMS
OPUS_41618,,,4/16/2018,Precise,BAROLOGGER?,-114.0769847,38.78944721,1708.705,4297909.834,232742.7343,0.011,0.011,
OPUS_41718,,,4/16/2018,Precise,BAROLOGGER?,-113.8917183,39.55861325,1459.49,4382764.084,251561.7418,0.01,0.016,
OPUS_41818,,,4/16/2018,Precise,BAROLOGGER?,-113.863111,39.40350528,1468.744,4365467.317,253472.372,0.015,0.013,
SV1001,1001,1001,4/16/2018,Precise,,-113.8654116,39.58141613,1451.765,4385223.007,253902.9195,0.0148,0.0178,0.0032
SV1002,1002,1002,4/16/2018,Precise,,-113.8653422,39.58121485,1452.051,4385200.472,253908.1695,0.0141,0.0188,0.0029
SV1003,1003,1003,4/16/2018,Precise,,-113.8652848,39.58169219,1451.625,4385253.304,253914.7851,0.015,0.0197,0.003
SV1004,1004,1004,4/16/2018,Precise,,-113.8653381,39.58058218,1452.044,4385130.229,253906.2811,0.0128,0.0156,0.0028
SV1005,1005,1005,4/16/2018,Precise,,-113.8654163,39.58350153,1451.75,4385454.517,253909.8964,0.0229,0.0261,0.0039
SV1006,1006,1006,4/16/2018,Precise,,-113.8656314,39.5834922,1451.392,4385454.07,253891.392,0.0235,0.0263,0.0043
SV1007,1007,1007,4/16/2018,Precise,,-113.8658237,39.58353747,1451.49,4385459.622,253875.0289,0.0228,0.0255,0.0046
SV1008,1008,1008,4/16/2018,Precise,,-113.8658197,39.58497357,1451.248,4385619.03,253880.4608,0.0197,0.0233,0.0039
SV1009,1009,1009,4/16/2018,Precise,,-113.8656768,39.5849984,1451.344,4385621.395,253892.8212,0.0198,0.023,0.0039
SV1010,1010,1010,4/16/2018,Precise,,-113.866193,39.58502748,1451.453,4385626.038,253848.585,0.0197,0.0245,0.0036
SV1011,1011,1011,4/16/2018,Precise,,-113.8913137,39.55810325,1457.918,4382706.351,251594.6841,0.01,0.0108,0.002
SV1012,1012,1012,4/16/2018,Precise,,-113.891317,39.55838189,1458.119,4382737.291,251595.401,0.0089,0.01,0.002
SV1013,1013,1013,4/16/2018,Precise,,-113.8918001,39.55720561,1457.927,4382608.05,251549.6848,0.0076,0.0078,0.0021
SV1014,1014,1014,4/16/2018,Precise,,-113.8918533,39.55773648,1457.366,4382667.128,251547.0078,0.0095,0.0098,0.0019
SV1015,1015,1015,4/16/2018,Precise,,-113.8879608,39.55782059,1457.55,4382665.711,251881.7907,0.0165,0.022,0.0043
SV1016,1016,1016,4/16/2018,Precise,,-113.8879033,39.55792136,1457.174,4382676.739,251887.091,0.0152,0.0204,0.0043
SV1018,1018,1018,4/16/2018,Precise,,-113.8882148,39.55927601,1457.118,4382827.978,251865.1482,0.0087,0.0117,0.0028
